mode,forgetfulness,tiredness,recovery,intensity,groupSize,propensity,repeats,top5SharePct,top10Stability1Pct,top10Stability10Pct,top10Stability20Pct,totalPower,oligarchyScore
"random",0.108000,0.088000,0,0.060000,12,0,1,10.490208,70,60,10,54.098040,13.990208
"random",0.180000,0.044000,0.200000,0.060000,2,0,1,10.490984,80,30,10,50.721448,13.990984
"habit",0.180000,0,0.080000,0.060000,2,0.200000,1,10.493192,80,30,10,50.743187,13.993192
"random",0.144000,0,0.040000,0.060000,2,0,1,10.501524,80,30,10,50.924081,14.001524
"habit",0.144000,0.176000,0.080000,0.060000,2,0.800000,1,10.505380,80,50,10,50.872638,14.005380
"habit",0.180000,0.088000,0.080000,0.060000,2,0.600000,1,10.511232,80,30,10,50.742910,14.011232
"random",0.144000,0.044000,0.120000,0.060000,2,0,1,10.511305,80,40,10,50.888262,14.011305
"habit",0.180000,0.132000,0.120000,0.060000,2,1,1,10.515731,100,30,10,50.694596,14.015731
"habit",0.144000,0.044000,0,0.060000,9,0.400000,1,10.518168,80,20,10,51.673583,14.018168
"habit",0.180000,0.176000,0.040000,0.060000,2,0.800000,1,10.518970,80,40,10,50.721500,14.018970
"habit",0.144000,0.044000,0.200000,0.060000,2,0.800000,1,10.519246,80,30,10,50.876570,14.019246
"habit",0.144000,0.176000,0.040000,0.060000,2,0.600000,1,10.523411,90,20,10,50.900632,14.023411
"habit",0.180000,0.176000,0,0.060000,12,0.200000,1,10.524049,80,20,10,52.490647,14.024049
"habit",0.180000,0.176000,0.120000,0.060000,2,0,1,10.535744,90,20,10,50.745157,14.035744
"habit",0.108000,0,0.080000,0.060000,2,1,1,10.539931,80,20,10,51.246067,14.039931
"random",0.144000,0.132000,0.040000,0.060000,2,0,1,10.540057,80,30,10,50.916805,14.040057
"random",0.180000,0.176000,0.080000,0.060000,2,0,1,10.541010,80,10,10,50.722893,14.041010
"habit",0.144000,0.044000,0.080000,0.060000,2,0.200000,1,10.553430,80,20,10,50.915246,14.053430
"habit",0.108000,0.044000,0,0.060000,9,0.200000,1,10.556301,80,30,10,52.289163,14.056301
"random",0.180000,0,0.040000,0.060000,2,0,1,10.558282,80,10,10,50.766910,14.058282
"random",0.180000,0,0,0.060000,2,0,1,10.568910,90,30,10,50.752969,14.068910
