groupSize,tiredness,forgetfulness,intensity,propensity,repeats,runaway,totalPower,log10TotalPower,top5SharePct,top10Stability20Pct,topBottomRatio,log10TopBottomRatio,oligarchyScore
2,0,0.100000,0.078000,0.800000,1,0,51.694956,1.713448,10.778263,20,1.114326,0.047012,18.342409
2,0,0.100000,0.078000,1,1,0,51.680999,1.713331,10.700136,10,1.105909,0.043720,14.724770
2,0,0.100000,0.112000,0,1,0,52.442882,1.719687,10.858406,20,1.138564,0.056357,18.534695
2,0,0.100000,0.112000,0.200000,1,0,52.469968,1.719911,11.290910,20,1.184629,0.073582,19.173897
2,0,0.100000,0.112000,0.400000,1,0,52.458839,1.719819,10.759382,40,1.128715,0.052584,25.390395
2,0,0.100000,0.112000,0.600000,1,0,52.464725,1.719867,11.177154,30,1.172476,0.069104,22.506400
2,0,0.100000,0.112000,0.800000,1,0,52.458778,1.719818,11.235965,20,1.178655,0.071387,19.092604
2,0,0.100000,0.112000,1,1,0,52.459973,1.719828,11.134197,10,1.168110,0.067484,15.444004
2,0,0.100000,0.146000,0,1,0,53.240374,1.726241,11.478160,20,1.221740,0.086979,19.521903
2,0,0.100000,0.146000,0.200000,1,0,53.223194,1.726101,11.390885,30,1.212434,0.083658,22.894783
2,0,0.100000,0.146000,0.400000,1,0,53.237671,1.726219,11.283747,40,1.201251,0.079634,26.239354
2,0,0.100000,0.146000,0.600000,1,0,53.316150,1.726859,11.775907,30,1.255591,0.098848,23.462083
2,0,0.100000,0.146000,0.800000,1,0,53.230648,1.726162,11.207949,30,1.193099,0.076676,22.628065
2,0,0.100000,0.146000,1,1,0,53.311153,1.726818,12.187884,40,1.298624,0.113483,27.549684
2,0,0.100000,0.180000,0,1,0,54.107757,1.733260,12.295216,50,1.330083,0.123879,31.281762
2,0,0.100000,0.180000,0.200000,1,0,54.002693,1.732415,11.214364,30,1.210941,0.083123,22.711840
2,0,0.100000,0.180000,0.400000,1,0,54.048645,1.732785,11.672772,10,1.261486,0.100883,16.383363
2,0,0.100000,0.180000,0.600000,1,0,54.007606,1.732455,11.556627,30,1.247110,0.095905,23.207486
2,0,0.100000,0.180000,0.800000,1,0,54.107990,1.733261,11.965259,20,1.294409,0.112071,20.310115
2,0,0.100000,0.180000,1,1,0,54.076750,1.733011,11.797469,30,1.275914,0.105821,23.567324
2,0,0.200000,0.010000,0,1,0,50.110610,1.699930,10.088456,40,1.011077,0.004784,24.145869
2,0,0.200000,0.010000,0.200000,1,0,50.110485,1.699929,10.076086,10,1.009835,0.004250,13.627091
2,0,0.200000,0.010000,0.400000,1,0,50.110635,1.699930,10.094005,10,1.011634,0.005023,13.654286
2,0,0.200000,0.010000,0.600000,1,0,50.110525,1.699929,10.079525,10,1.010181,0.004399,13.632313
2,0,0.200000,0.010000,0.800000,1,0,50.110622,1.699930,10.096646,20,1.011898,0.005137,17.158289
2,0,0.200000,0.010000,1,1,0,50.110529,1.699929,10.088789,30,1.011109,0.004798,20.646366
